"filename", "language", "JSON with Comments", "JavaScript", "SQL", "TypeScript", "Markdown", "JSON", "XML", "Solidity", "TypeScript JSX", "CSS", "SCSS", "comment", "blank", "total"
"c:\Users\rikiy\OneDrive\デスクトップ\BlockCertify\documents\powerpoint image\10856_color.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\rikiy\OneDrive\デスクトップ\BlockCertify\documents\powerpoint image\12920_color.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\rikiy\OneDrive\デスクトップ\BlockCertify\documents\powerpoint image\15110_color.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\rikiy\OneDrive\デスクトップ\BlockCertify\documents\powerpoint image\15117_color.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\rikiy\OneDrive\デスクトップ\BlockCertify\documents\powerpoint image\17507_color.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\rikiy\OneDrive\デスクトップ\BlockCertify\documents\powerpoint image\943_color.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\rikiy\OneDrive\デスクトップ\BlockCertify\lib\database.types.ts", "TypeScript", 0, 0, 0, 260, 0, 0, 0, 0, 0, 0, 0, 0, 2, 262
"c:\Users\rikiy\OneDrive\デスクトップ\BlockCertify\lib\inputForm.types.ts", "TypeScript", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20
"c:\Users\rikiy\OneDrive\デスクトップ\BlockCertify\lib\supabase.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\rikiy\OneDrive\デスクトップ\BlockCertify\next.config.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 15
"c:\Users\rikiy\OneDrive\デスクトップ\BlockCertify\package-lock.json", "JSON", 0, 0, 0, 0, 0, 11176, 0, 0, 0, 0, 0, 0, 1, 11177
"c:\Users\rikiy\OneDrive\デスクトップ\BlockCertify\package.json", "JSON", 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 1, 48
"c:\Users\rikiy\OneDrive\デスクトップ\BlockCertify\postcss.config.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\rikiy\OneDrive\デスクトップ\BlockCertify\public\imgs\items\certification.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\rikiy\OneDrive\デスクトップ\BlockCertify\public\imgs\items\education.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\rikiy\OneDrive\デスクトップ\BlockCertify\public\imgs\items\partnership.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\rikiy\OneDrive\デスクトップ\BlockCertify\public\imgs\items\secure.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\rikiy\OneDrive\デスクトップ\BlockCertify\public\imgs\items\title.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\rikiy\OneDrive\デスクトップ\BlockCertify\smart_contract\README.md", "Markdown", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 4, 14
"c:\Users\rikiy\OneDrive\デスクトップ\BlockCertify\smart_contract\contracts\EducationRecord.sol", "Solidity", 0, 0, 0, 0, 0, 0, 0, 80, 0, 0, 0, 2, 7, 89
"c:\Users\rikiy\OneDrive\デスクトップ\BlockCertify\smart_contract\contracts\Lock.sol", "Solidity", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 5, 10, 35
"c:\Users\rikiy\OneDrive\デスクトップ\BlockCertify\smart_contract\hardhat.config.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 3, 23
"c:\Users\rikiy\OneDrive\デスクトップ\BlockCertify\smart_contract\package-lock.json", "JSON", 0, 0, 0, 0, 0, 7462, 0, 0, 0, 0, 0, 0, 1, 7463
"c:\Users\rikiy\OneDrive\デスクトップ\BlockCertify\smart_contract\package.json", "JSON", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\rikiy\OneDrive\デスクトップ\BlockCertify\smart_contract\scripts\deploy.ts", "TypeScript", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 3, 4, 23
"c:\Users\rikiy\OneDrive\デスクトップ\BlockCertify\smart_contract\test\Lock.ts", "TypeScript", 0, 0, 0, 93, 0, 0, 0, 0, 0, 0, 0, 8, 27, 128
"c:\Users\rikiy\OneDrive\デスクトップ\BlockCertify\smart_contract\tsconfig.json", "JSON with Comments", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"c:\Users\rikiy\OneDrive\デスクトップ\BlockCertify\states\atoms\inputAtom.ts", "TypeScript", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\rikiy\OneDrive\デスクトップ\BlockCertify\store\index.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 4, 4, 20
"c:\Users\rikiy\OneDrive\デスクトップ\BlockCertify\supabase\seed.sql", "SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\rikiy\OneDrive\デスクトップ\BlockCertify\tailwind.config.js", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 20
"c:\Users\rikiy\OneDrive\デスクトップ\BlockCertify\tsconfig.json", "JSON with Comments", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 29
"Total", "-", 39, 36, 0, 583, 64, 18695, 11, 100, 2843, 7, 107, 277, 505, 23267
